publisher_name,ext_name,link_to_extension,extension_name,display_name,description,last_updated,version,tags,categories,install_count,average_rating,rating_count,repository,icon_url
ms-python,python,https://marketplace.visualstudio.com/items?itemName=ms-python.python,python,Python,"Python language support with extension access points for IntelliSense (Pylance), Debugging (Python Debugger), linting, formatting, refactoring, unit tests, and more.",2025-01-23T10:44:45.593Z,2024.23.2025012301,"python, django, unittest, multi-root ready","Programming Languages, Debuggers, Other, Data Science, Machine Learning",152867708.0,4.205638474295191,603.0,https://github.com/Microsoft/vscode-python,https://ms-python.gallerycdn.vsassets.io/extensions/ms-python/python/2024.23.2025012301/1737628879152/Microsoft.VisualStudio.Code.Manifest
ms-python,vscode-pylance,https://marketplace.visualstudio.com/items?itemName=ms-python.vscode-pylance,vscode-pylance,Pylance,"A performant, feature-rich language server for Python in VS Code",2025-01-23T02:49:17.717Z,2025.1.101,python,Programming Languages,124850286.0,3.066666603088379,240.0,https://github.com/microsoft/pylance-release,https://ms-python.gallerycdn.vsassets.io/extensions/ms-python/vscode-pylance/2025.1.101/1737600213613/Microsoft.VisualStudio.Code.Manifest
ms-toolsai,jupyter,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter,jupyter,Jupyter,"Jupyter notebook support, interactive programming and computing that supports Intellisense, debugging and more.",2025-01-23T09:57:28.123Z,2025.1.2025012301,"jupyter, notebook, notebookKernelJupyterNotebook, multi-root ready, python, interactive","Extension Packs, Data Science, Machine Learning, Notebooks, Visualization",87040840.0,2.700000047683716,330.0,https://github.com/Microsoft/vscode-jupyter,https://ms-toolsai.gallerycdn.vsassets.io/extensions/ms-toolsai/jupyter/2025.1.2025012301/1737625744827/Microsoft.VisualStudio.Code.Manifest
ms-vscode,cpptools,https://marketplace.visualstudio.com/items?itemName=ms-vscode.cpptools,cpptools,C/C++,"C/C++ IntelliSense, debugging, and code browsing.",2025-01-22T02:45:19.547Z,1.23.4,"C, C++, IntelliSense, Microsoft, multi-root ready","Programming Languages, Debuggers, Formatters, Linters, Snippets",77337951.0,3.46875,576.0,https://github.com/Microsoft/vscode-cpptools.git,https://ms-vscode.gallerycdn.vsassets.io/extensions/ms-vscode/cpptools/1.23.4/1737513432403/Microsoft.VisualStudio.Code.Manifest
ms-toolsai,jupyter-keymap,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter-keymap,jupyter-keymap,Jupyter Keymap,Jupyter keymaps for notebooks,2023-06-05T17:53:31.993Z,1.1.2,notebook-keymap,Notebooks,68255029.0,4.0,3.0,https://github.com/Microsoft/vscode-jupyter-keymap,https://ms-toolsai.gallerycdn.vsassets.io/extensions/ms-toolsai/jupyter-keymap/1.1.2/1685987377049/Microsoft.VisualStudio.Code.Manifest
ms-toolsai,jupyter-renderers,https://marketplace.visualstudio.com/items?itemName=ms-toolsai.jupyter-renderers,jupyter-renderers,Jupyter Notebook Renderers,"Renderers for Jupyter Notebooks (with plotly, vega, gif, png, svg, jpeg and other such outputs)",2025-01-14T17:11:48.57Z,1.0.2025011401,"jupyter, notebook, notebookRenderer, multi-root ready","Other, Data Science, Machine Learning, Notebooks, Visualization",67199016.0,2.7857142857142856,14.0,https://github.com/Microsoft/vscode-notebook-renderers,https://ms-toolsai.gallerycdn.vsassets.io/extensions/ms-toolsai/jupyter-renderers/1.0.2025011401/1736874539545/Microsoft.VisualStudio.Code.Manifest
ms-python,debugpy,https://marketplace.visualstudio.com/items?itemName=ms-python.debugpy,debugpy,Python Debugger,Python Debugger extension using debugpy.,2025-01-20T10:40:50.223Z,2024.15.2025012001,"python, debugger, debugpy",Debuggers,62254092.0,4.545454502105713,11.0,https://github.com/microsoft/vscode-python-debugger.git,https://ms-python.gallerycdn.vsassets.io/extensions/ms-python/debugpy/2024.15.2025012001/1737369164038/Microsoft.VisualStudio.Code.Manifest
ritwickdey,LiveServer,https://marketplace.visualstudio.com/items?itemName=ritwickdey.LiveServer,LiveServer,Live Server,Launch a development local Server with live reload feature for static & dynamic pages,2025-01-10T21:04:34.71Z,5.7.9,"html preview, live preview, live reload, svg preview, open in browser, multi-root ready",Other,58825592.0,0,0,https://github.com/ritwickdey/vscode-live-server.git,https://ritwickdey.gallerycdn.vsassets.io/extensions/ritwickdey/liveserver/5.7.9/1736542717282/Microsoft.VisualStudio.Code.Manifest
esbenp,prettier-vscode,https://marketplace.visualstudio.com/items?itemName=esbenp.prettier-vscode,prettier-vscode,Prettier - Code formatter,Code formatter using prettier,2024-08-14T15:16:38.6Z,11.0.0,"multi-root ready, prettier, formatter, javascript, handlebars, js, jsx, flow, typescript, ts, json, css, less, scss, styled-components, styled-jsx, markdown, md, commonmark, mdx, php, pug, ruby, swift, html, vue, ember, glimmer, angular, graphql, yaml, yml",Formatters,53276681.0,3.5433404445648193,473.0,https://github.com/prettier/prettier-vscode.git,https://esbenp.gallerycdn.vsassets.io/extensions/esbenp/prettier-vscode/11.0.0/1723648421534/Microsoft.VisualStudio.Code.Manifest
VisualStudioExptTeam,vscodeintellicode,https://marketplace.visualstudio.com/items?itemName=VisualStudioExptTeam.vscodeintellicode,vscodeintellicode,IntelliCode,AI-assisted development,2024-10-23T23:47:03.84Z,1.3.2,N/A,Other,51128298.0,3.9896907806396484,97.0,https://github.com/MicrosoftDocs/intellicode,https://VisualStudioExptTeam.gallerycdn.vsassets.io/extensions/visualstudioexptteam/vscodeintellicode/1.3.2/1729726946695/Microsoft.VisualStudio.Code.Manifest
